candidate_id,smiles
cand-0198,CCC12CCC3OC1C23
cand-0199,OCC12OCC3CC1C23
cand-0200,CC1=C(CO)CC2CC12
cand-0201,CCC1=C(C)CC(C)C1
cand-0202,CCC1=C(CCC1)CC
cand-0203,CCC1=C(COC1)CC
cand-0204,C1=C(NC(=O)C1=O)CO
cand-0205,CCC1=CC(O)CC1O
cand-0206,CNC1=NC(CO1)C#C
cand-0207,CCC1=CC2(CC1)CC2
cand-0208,CCC1=CC2C3CC1N23
cand-0209,CCC1=CC2NC1C2O
cand-0210,CCC1=CC2NC2C1C
cand-0211,CCC1=CNC(=O)C1O
cand-0212,C1CC(=O)NC=C1CO
cand-0213,OCC1=CCC(O)C1=O
cand-0214,CCC1=CCC2(C)OC12
cand-0215,CC12CN1CC=C2CO
cand-0216,OCC1=CCN2CC1C2
cand-0217,CCC1=CCCC(=O)C1
cand-0218,CCC1=CCOC(=N)C1
cand-0219,CC1OCCC=C1CO
cand-0220,C1CCOC(=NC1)CO
cand-0221,CC1(C)CC(=O)C1CO
cand-0222,OCC1C(=N)OCC1=O
cand-0223,CC1C(C)C(CO)C1O
cand-0224,COC1C(C)C(O)C1C
cand-0225,CC1(C#N)C(N)C1CO
cand-0226,CC1C(CO)C1(C)C#C
cand-0227,CCC1C(C)C1(O)C#C
cand-0228,CC1C(CO)C1(O)C=O
cand-0229,CCC1C(N1C)C(N)=O
cand-0230,COC1C(C)C1C1CC1
cand-0231,CC1C=CC(C)C1CO
cand-0232,CCC1C(CC)C1C#N
cand-0233,COC1C(CO)C1C#C
cand-0234,COC1C(CO)C1CO
cand-0235,COC1C2(C)CC1(C)C2
cand-0236,CCN1C2C3C1C2C3=O
cand-0237,CCC1N2C3CC2C13O
cand-0238,COC1C2C3NC3(C)C12
cand-0239,CCC1C2C3CCC2C13
cand-0240,CCC1C2NC(=O)C12O
cand-0241,OCC1C2CC(C#N)C12
cand-0242,COC1C2CC(C)(O)C12
cand-0243,COC1C2CC(=O)C1O2
cand-0244,CCC1C2OC1C(C)=C2
cand-0245,CCC1C2CC1C1OC21
cand-0246,COC1C2OC1C2C=O
cand-0247,COC1C2CC=CC1O2
cand-0248,OCC1C2CC1OCC2
cand-0249,COC1C2CC2(C)C1=O
cand-0250,CC1C(CO)C2CC12C
cand-0251,COC1C2CN2C1C#C
cand-0252,CCC1C2NC2C2OC12
cand-0253,OCC1C2NC2C2CN12
cand-0254,COC1C2NC2CC1C
cand-0255,OCC1C2CC3CC1N23
cand-0256,COC1C2CC=CC12O
cand-0257,CCC1N2CCC12C#N
cand-0258,CNC1C2COC12C#N
cand-0259,COC1C2OCC12CO
cand-0260,CCN1C2COC2C1=N
cand-0261,CCC1C2COC=NC12
cand-0262,OCC1C=CC2(O)CC12
cand-0263,CCC1C=CC2OC12C
cand-0264,CCC1C=CC2CC1O2
cand-0265,CCC1C=CCC1(C)O
cand-0266,CCC1C=CCC11CC1
cand-0267,CCC1N=COC11CC1
cand-0268,COC1C=CCC11CC1
cand-0269,CNC1C=CCC1C#N
cand-0270,OCC1N=CNC1C=O
cand-0271,OCC1N=COCC1=O
cand-0272,CCC1C=CCCC1C
cand-0273,CCC1OC(=N)C(=O)O1
cand-0274,COC1CC(=O)C(=O)C1
cand-0275,OCC1CC(=O)C2CN12
cand-0276,COC1OC(=N)NC1=O
cand-0277,COC1CC(=O)NC1C
cand-0278,CCC1OC(C#N)C1N
cand-0279,CC1(CC(CO)N1)C#N
cand-0280,CCC1CC(O)(C1)C#C
cand-0281,CC1OC(CO)CC1O
cand-0282,CCN1CC(O)C1C#N
cand-0283,CCC1CC(C)C1CO
cand-0284,COC1CC(C)C1OC
cand-0285,CCC1CC(O)CC1C
cand-0286,CC1CC=CC(CO)O1
cand-0287,CCC1CC(C1)C(C)=O
cand-0288,OCC1OC1(C#C)C#N
cand-0289,COC1CC1([NH3+])C([O-])=O
cand-0290,CCC1CC1(CO)C#C
cand-0291,CCC1NC1(CO)C#N
cand-0292,CCN1CC1(CO)C#C
cand-0293,CCC1(CC1CO)OC
cand-0294,CCC1(CC1OC)OC
cand-0295,CCC1OC1(CC)CC
cand-0296,OCC1CC11NCC1=O
cand-0297,OCC1OC11CNC1=N
cand-0298,CC1OCC11NC1CO
cand-0299,COC1CC11OCC=C1
